中華民國112年07月31日 ETF日行情
日期,證券代號,證券名稱,成交仟股,成交仟元,開盤,最高,最低,收盤,漲跌,筆數 
"1120731","006201","元大富櫃50          ","43","827","19.20","19.32","18.92","18.92","-0.21","43"
"1120731","00679B","元大美債20年         ","54,056","1,688,930","31.26","31.30","31.21","31.22","0.00","16,117"
"1120731","00687B","國泰20年美債         ","15,099","489,088","32.46","32.46","32.35","32.39","-0.04","5,466"
"1120731","00694B","富邦美債1-3         ","527","20,739","39.30","39.35","39.30","39.34","-0.02","53"
"1120731","00695B","富邦美債7-10        ","66","2,297","34.70","34.72","34.69","34.70","0.00","12"
"1120731","00696B","富邦美債20年         ","5,094","167,450","32.87","32.91","32.84","32.86","-0.01","615"
"1120731","00697B","元大美債7-10        ","348","12,448","35.71","35.76","35.70","35.71","0.00","77"
"1120731","00718B","富邦中國政策債         ","189","3,825","20.22","20.25","20.22","20.25","+0.05","10"
"1120731","00719B","元大美債1-3         ","879","27,067","30.80","30.82","30.70","30.81","+0.02","98"
"1120731","00720B","元大投資級公司債        ","11,952","414,302","34.65","34.70","34.62","34.66","+0.09","4,000"
"1120731","00721B","元大中國債3-5        ","52","2,379","45.60","45.60","45.58","45.58","+0.04","4"
"1120731","00722B","群益投資級電信債        ","4,517","167,488","37.11","37.12","37.02","37.06","+0.10","1,984"
"1120731","00723B","群益投資級科技債        ","155","5,230","33.85","33.85","33.78","33.81","+0.17","12"
"1120731","00724B","群益投資級金融債        ","3,300","110,947","33.60","33.66","33.55","33.63","+0.20","315"
"1120731","00725B","國泰投資級公司債        ","1,869","68,746","36.74","36.83","36.74","36.77","+0.13","781"
"1120731","00726B","國泰5Y+新興債        ","134","4,536","33.89","33.93","33.87","33.92","+0.03","20"
"1120731","00727B","國泰1-5Y非投等債      ","132","5,001","37.87","37.94","37.87","37.94","+0.07","15"
"1120731","00734B","台新JPM新興債        ","1,009","15,974","15.83","15.85","15.83","15.84","+0.04","19"
"1120731","00740B","富邦全球投等債         ","4,679","183,807","39.22","39.32","39.22","39.28","+0.12","203"
"1120731","00741B","富邦全球非投等債        ","104","3,802","36.68","36.82","36.68","36.82","+0.19","11"
"1120731","00744B","國泰中國政金債5+       ","186","7,885","42.34","42.47","42.34","42.45","+0.09","11"
"1120731","00746B","富邦A級公司債         ","106","3,890","36.62","36.62","36.55","36.57","+0.19","22"
"1120731","00749B","凱基新興債10+        ","101","3,269","32.35","32.37","32.35","32.37","+0.06","3"
"1120731","00750B","凱基科技債10+        ","100","3,493","34.93","34.93","34.93","34.93","+0.25","2"
"1120731","00751B","元大AAA至A公司債      ","8,736","305,817","35.03","35.06","34.98","35.00","+0.09","3,295"
"1120731","00754B","群益AAA-AA公司債     ","106","3,955","37.27","37.33","37.27","37.33","+0.19","10"
"1120731","00755B","群益投資級公用債        ","119","4,088","34.52","34.52","34.47","34.48","+0.07","85"
"1120731","00756B","群益投等新興公債        ","458","15,419","33.70","33.70","33.58","33.64","-0.04","726"
"1120731","00758B","復華能源債           ","112","5,863","52.30","52.35","52.30","52.35","+0.30","3"
"1120731","00759B","復華製藥債           ","100","5,720","57.20","57.20","57.20","57.20","+0.30","2"
"1120731","00760B","復華新興企業債         ","197","10,638","53.85","54.10","53.80","54.10","+0.25","48"
"1120731","00761B","國泰A級公司債         ","1,139","42,170","36.93","37.05","36.93","37.02","+0.16","324"
"1120731","00764B","群益25年美債         ","3,075","99,942","32.53","32.54","32.47","32.49","+0.01","831"
"1120731","00768B","復華20年美債         ","327","18,207","55.65","55.65","55.60","55.65","0.00","35"
"1120731","00772B","中信高評級公司債        ","7,870","281,308","35.73","35.80","35.68","35.75","+0.10","3,204"
"1120731","00773B","中信優先金融債         ","3,421","123,964","36.16","36.29","36.16","36.23","+0.17","850"
"1120731","00777B","凱基AAA至A公司債      ","101","3,568","35.32","35.33","35.32","35.33","+0.13","3"
"1120731","00778B","凱基金融債20+        ","101","3,622","35.81","35.86","35.81","35.86","+0.25","3"
"1120731","00779B","凱基美債25+         ","110","3,622","32.87","32.93","32.87","32.91","+0.13","8"
"1120731","00780B","國泰A級金融債         ","273","9,819","35.92","36.02","35.92","36.00","+0.03","67"
"1120731","00781B","國泰A級科技債         ","131","4,367","33.34","33.34","33.30","33.33","+0.17","9"
"1120731","00782B","國泰A級公用債         ","561","18,268","32.53","32.56","32.46","32.51","-0.01","116"
"1120731","00784B","富邦中國投等債         ","100","3,661","36.60","36.60","36.60","36.60","+0.15","5"
"1120731","00785B","富邦金融投等債         ","102","3,554","34.87","34.87","34.82","34.82","+0.22","7"
"1120731","00786B","元大10年IG銀行債      ","125","4,236","33.81","33.86","33.81","33.81","+0.08","34"
"1120731","00787B","元大10年IG醫療債      ","47","1,641","34.90","34.94","34.90","34.92","+0.13","9"
"1120731","00788B","元大10年IG電能債      ","141","4,468","31.63","31.70","31.60","31.70","+0.09","40"
"1120731","00789B","復華公司債A3         ","125","6,539","52.35","52.35","52.25","52.25","+0.20","6"
"1120731","00790B","復華次順位金融債        ","100","5,275","52.75","52.75","52.75","52.75","+0.45","2"
"1120731","00791B","復華信用債1-5        ","113","6,069","53.75","53.75","53.70","53.70","+0.25","7"
"1120731","00792B","群益A級公司債         ","107","3,634","33.89","33.91","33.89","33.89","+0.13","85"
"1120731","00793B","群益AAA-A醫療債      ","107","3,577","33.35","33.43","33.35","33.41","+0.14","7"
"1120731","00794B","群益7+中國政金債       ","117","4,672","39.94","40.01","39.94","39.99","+0.22","10"
"1120731","00795B","中信美國公債20年       ","7,070","224,151","31.70","31.76","31.66","31.70","-0.01","2,048"
"1120731","00799B","國泰A級醫療債         ","125","4,186","33.44","33.51","33.44","33.49","+0.04","16"
"1120731","00831B","新光美債1-3         ","2","76","38.20","38.20","38.20","38.20","+0.05","2"
"1120731","00834B","第一金金融債10+       ","262","8,882","33.86","33.93","33.86","33.92","+0.16","26"
"1120731","00836B","永豐10年A公司債       ","236","7,354","31.09","31.15","31.09","31.15","+0.18","11"
"1120731","00840B","凱基IG精選15+       ","100","3,223","32.23","32.23","32.23","32.23","+0.22","2"
"1120731","00841B","凱基AAA-AA公司債     ","102","3,279","32.15","32.15","32.15","32.15","+0.19","6"
"1120731","00842B","台新美元銀行債         ","145","4,705","32.46","32.46","32.40","32.40","+0.19","5"
"1120731","00844B","新光15年IG金融債      ","2","65","32.45","32.45","32.45","32.45","+0.15","2"
"1120731","00845B","富邦新興投等債         ","100","3,233","32.32","32.32","32.32","32.32","+0.06","3"
"1120731","00846B","富邦歐洲銀行債         ","100","3,399","33.99","33.99","33.99","33.99","+0.12","2"
"1120731","00847B","中信美國市政債         ","217","6,058","27.89","27.92","27.89","27.92","+0.13","11"
"1120731","00848B","中信新興亞洲債         ","112","3,858","34.42","34.48","34.42","34.48","+0.15","7"
"1120731","00849B","中信EM主權債0-5      ","101","3,658","36.17","36.18","36.17","36.18","+0.08","6"
"1120731","00853B","統一美債10年Aa-A     ","1,089","31,901","29.22","29.33","29.22","29.28","+0.15","159"
"1120731","00856B","永豐1-3年美公債       ","157","5,927","37.69","37.78","37.66","37.78","+0.07","13"
"1120731","00857B","永豐20年美公債        ","1,173","31,815","27.14","27.15","27.10","27.13","+0.04","441"
"1120731","00858","永豐美國500大        ","356","9,855","27.65","27.75","27.65","27.71","+0.19","100"
"1120731","00859B","群益0-1年美債        ","118","4,774","40.61","40.61","40.52","40.54","-0.07","6"
"1120731","00860B","群益1-5Y投資級債      ","165","6,195","37.62","37.66","37.61","37.64","+0.06","12"
"1120731","00862B","中信投資級公司債        ","2,070","66,690","32.19","32.24","32.18","32.22","+0.13","1,091"
"1120731","00863B","中信全球電信債         ","113","3,673","32.47","32.51","32.47","32.51","+0.11","9"
"1120731","00864B","中信美國公債0-1       ","103","4,374","42.42","42.48","42.42","42.47","+0.05","7"
"1120731","00867B","新光A-BBB電信債      ","207","6,593","31.84","31.85","31.84","31.84","+0.07","9"
"1120731","00870B","元大15年EM主權債      ","126","3,787","29.96","30.10","29.96","30.10","+0.01","13"
"1120731","00877","復華中國5G          ","1,037","11,797","11.29","11.45","11.27","11.36","+0.12","172"
"1120731","00883B","中信ESG投資級債       ","202","6,440","31.82","31.82","31.81","31.82","+0.13","873"
"1120731","00884B","中信低碳新興債         ","202","6,275","31.08","31.09","31.08","31.09","-0.02","8"
"1120731","00886","永豐美國科技          ","268","6,717","24.99","25.07","24.97","25.04","+0.32","66"
"1120731","00887","永豐中國科技50大       ","528","7,447","14.05","14.13","14.05","14.11","+0.17","74"
"1120731","00888","永豐台灣ESG         ","4,032","57,511","14.37","14.41","14.17","14.20","-0.08","2,119"
"1120731","00890B","凱基ESG BBB債15+   ","232","7,759","33.43","33.46","33.43","33.43","+0.07","48"
"1120731","00928","中信上櫃ESG 30      ","1,284","20,250","15.84","15.87","15.63","15.68","-0.07","258"
"合計","","","154,954","4,997,010","","","","","","47,349"
