"112年07月31日 每日收盤行情(ETF)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
="0050","元大台灣50","7,751,452","11,911","1,003,262,971","130.30","130.65","128.25","128.80","-","0.70","128.75","4","128.80","18","0.00",
="0051","元大中型100","164,582","357","12,051,336","74.20","74.60","71.95","72.45","-","1.45","72.40","4","72.60","58","0.00",
="0052","富邦科技","215,806","393","25,888,423","122.30","122.30","118.50","119.10","-","1.50","119.10","24","119.20","80","0.00",
="0053","元大電子","12,164","940","852,842","70.55","70.60","70.10","70.10"," ","0.00","68.65","23","69.55","26","0.00",
="0055","元大MSCI金融","401,400","498","9,773,926","24.27","24.54","24.23","24.25","+","0.01","24.24","9","24.25","5","0.00",
="0056","元大高股息","97,223,861","47,294","3,542,270,646","36.66","37.25","35.61","35.74","-","0.84","35.73","457","35.74","456","0.00",
="0057","富邦摩台","3,549","986","339,452","95.30","95.55","95.30","95.55","-","0.80","95.40","20","95.50","10","0.00",
="0061","元大寶滬深","846,652","1,118","16,312,741","19.13","19.40","19.13","19.32","+","0.30","19.25","5","19.32","26","0.00",
="006203","元大MSCI台灣","6,400","974","404,564","63.60","63.60","63.05","63.05","-","0.55","62.45","1","63.40","1","0.00",
="006204","永豐臺灣加權","22,879","405","2,037,975","90.50","90.50","89.00","89.00","-","0.65","88.85","50","89.05","51","0.00",
="006205","富邦上証","1,308,086","460","42,440,565","32.24","32.70","32.20","32.28","+","0.30","32.26","4","32.28","210","0.00",
="006206","元大上證50","401,128","1,007","12,425,072","30.56","31.22","30.56","30.74","+","0.30","30.70","26","30.74","6","0.00",
="006207","復華滬深","236,021","44","6,000,016","25.20","25.54","25.20","25.31","+","0.30","25.25","3","25.28","52","0.00",
="006208","富邦台50","3,195,969","7,291","238,525,749","75.30","75.50","74.15","74.50","-","0.30","74.45","3","74.50","58","0.00",
="00625K","富邦上証+R","0","0","0","--","--","--","--"," ","0.00","7.37","5","7.42","5","0.00",
="00631L","元大台灣50正2","4,768,159","4,174","678,759,701","145.20","145.40","139.40","139.85","-","2.65","139.85","251","139.90","151","0.00",
="00632R","元大台灣50反1","187,069,825","6,890","876,204,583","4.65","4.74","4.64","4.73","+","0.05","4.72","16,304","4.73","11,677","0.00",
="00633L","富邦上証正2","18,993,654","3,813","790,804,774","41.39","42.60","40.86","41.00","+","0.47","40.98","1","41.00","26","0.00",
="00634R","富邦上証反1","959,000","89","4,100,620","4.29","4.32","4.24","4.32","-","0.03","4.31","70","4.32","534","0.00",
="00635U","期元大S&P黃金","226,128","91","5,513,067","24.37","24.41","24.35","24.36","+","0.03","24.35","3","24.36","3","0.00",
="00636","國泰中國A50","2,713,573","1,133","60,247,932","22.11","22.50","22.01","22.05","+","0.20","22.04","62","22.05","75","0.00",
="00636K","國泰中國A50+U","2,400","5","17,078","7.12","7.12","7.07","7.07","X","0.00","6.99","10","7.05","10","0.00",
="00637L","元大滬深300正2","107,742,585","14,098","1,780,569,263","16.45","16.91","16.19","16.26","+","0.21","16.25","168","16.26","1,032","0.00",
="00638R","元大滬深300反1","1,068,208","195","9,648,174","9.13","9.15","8.94","9.12","-","0.08","9.12","70","9.13","1","0.00",
="00639","富邦深100","1,459,927","562","18,555,335","12.58","12.78","12.58","12.69","+","0.21","12.68","12","12.69","97","0.00",
="00640L","富邦日本正2","2,544,864","610","103,674,035","40.90","41.02","40.33","40.47","+","1.55","40.47","8","40.48","17","0.00",
="00641R","富邦日本反1","1,294,035","241","10,212,254","7.88","7.93","7.86","7.91","-","0.18","7.91","115","7.92","420","0.00",
="00642U","期元大S&P石油","3,639,602","1,033","61,904,340","17.00","17.06","16.98","17.00","+","0.12","17.00","20","17.01","45","0.00",
="00643","群益深証中小","731,057","453","10,531,536","14.26","14.50","14.26","14.36","+","0.21","14.35","100","14.36","5","0.00",
="00643K","群益深証中小+R","0","0","0","--","--","--","--"," ","0.00","3.27","2","3.33","1","0.00",
="00645","富邦日本","2,604,645","635","82,100,419","31.53","31.59","31.33","31.40","+","0.60","31.39","28","31.40","16","0.00",
="00646","元大S&P500","3,570,750","1,059","159,492,929","44.55","44.74","44.54","44.74","+","0.54","44.72","1","44.74","207","0.00",
="00647L","元大S&P500正2","240,329","52","16,263,423","67.80","67.85","67.55","67.75","+","0.80","67.60","2","67.75","138","0.00",
="00648R","元大S&P500反1","1,057,233","80","6,795,111","6.41","6.44","6.41","6.44","-","0.02","6.43","54","6.44","2,039","0.00",
="00650L","復華香港正2","17,087,358","2,341","235,564,424","13.66","13.96","13.60","13.70","+","0.40","13.69","16","13.70","142","0.00",
="00651R","復華香港反1","1,399,585","240","11,323,347","8.24","8.24","8.02","8.11","-","0.14","8.10","105","8.11","63","0.00",
="00652","富邦印度","252,849","813","8,282,803","32.70","32.85","32.68","32.81","+","0.16","32.79","1","32.82","7","0.00",
="00653L","富邦印度正2","229,267","102","11,424,139","50.00","50.00","49.52","49.98","+","0.34","49.90","2","49.98","50","0.00",
="00654R","富邦印度反1","158,000","34","1,175,400","7.47","7.47","7.42","7.45","-","0.02","7.43","10","7.45","99","0.00",
="00655L","國泰中國A50正2","5,512,188","1,372","160,403,247","28.85","29.80","28.52","28.62","+","0.35","28.60","17","28.63","410","0.00",
="00656R","國泰中國A50反1","500,490","90","4,039,213","8.16","8.16","7.98","8.13","-","0.06","8.13","35","8.14","170","0.00",
="00657","國泰日經225","1,179,549","544","46,706,218","39.09","39.75","39.09","39.43","+","0.88","39.43","210","39.44","1","0.00",
="00657K","國泰日經225+U","200","2","2,510","12.55","12.55","12.55","12.55","X","0.00","12.52","10","12.55","10","0.00",
="00660","元大歐洲50","5,150","668","166,955","32.39","32.67","32.39","32.67","+","0.45","32.28","25","32.70","20","0.00",
="00661","元大日經225","1,393,646","233","59,019,811","42.18","42.60","42.10","42.28","+","0.78","42.25","103","42.28","2","0.00",
="00662","富邦NASDAQ","1,776,114","854","112,890,415","63.60","63.65","63.40","63.60","+","0.95","63.55","204","63.60","1","0.00",
="00663L","國泰臺灣加權正2","1,256,138","42","163,928,134","134.45","134.45","129.70","130.10","-","2.40","129.80","54","129.95","100","0.00",
="00664R","國泰臺灣加權反1","12,469,206","522","65,683,014","5.23","5.33","5.21","5.32","+","0.04","5.31","2,846","5.32","107","0.00",
="00665L","富邦恒生國企正2","51,696,906","5,005","457,483,965","8.70","9.00","8.70","8.79","+","0.36","8.78","118","8.79","1,357","0.00",
="00666R","富邦恒生國企反1","333,000","102","4,620,840","14.01","14.05","13.73","13.92","-","0.31","13.90","48","13.92","36","0.00",
="00668","國泰美國道瓊","382,999","767","15,487,651","40.48","40.48","40.41","40.46","+","0.12","40.46","5","40.49","10","0.00",
="00668K","國泰美國道瓊+U","200","2","2,574","12.87","12.87","12.87","12.87","X","0.00","12.85","10","12.89","10","0.00",
="00669R","國泰美國道瓊反1","3,817,080","190","29,220,873","7.65","7.66","7.64","7.66","-","0.01","7.65","2,084","7.66","557","0.00",
="00670L","富邦NASDAQ正2","2,351,320","953","217,883,956","93.00","93.15","92.35","92.55","+","1.95","92.55","32","92.60","180","0.00",
="00671R","富邦NASDAQ反1","7,866,210","418","36,506,917","4.63","4.65","4.62","4.65","-","0.05","4.64","1,323","4.65","2,675","0.00",
="00673R","期元大S&P原油反1","30,004,625","3,144","246,230,430","8.23","8.23","8.18","8.22","-","0.06","8.21","4,232","8.22","2,465","0.00",
="00674R","期元大S&P黃金反1","1,432,000","90","17,601,130","12.27","12.31","12.27","12.31","-","0.01","12.30","19","12.31","136","0.00",
="00675L","富邦臺灣加權正2","2,176,743","1,498","125,700,491","58.80","58.85","56.40","56.60","-","1.10","56.60","179","56.65","2","0.00",
="00676R","富邦臺灣加權反1","9,398,250","355","27,259,454","2.89","2.94","2.87","2.93","+","0.02","2.93","1,547","2.94","3,334","0.00",
="00678","群益NBI生技","413,106","990","10,755,929","26.06","26.17","26.03","26.03","+","0.46","26.00","1","26.03","8","0.00",
="00680L","元大美債20正2","20,877,453","2,966","218,076,215","10.47","10.48","10.41","10.43","-","0.02","10.42","377","10.43","4,362","0.00",
="00681R","元大美債20反1","21,226","11","406,293","19.10","19.18","19.09","19.18","-","0.01","19.16","5","19.18","44","0.00",
="00682U","期元大美元指數","37,007","22","751,802","20.30","20.34","20.30","20.34"," ","0.00","20.33","49","20.35","11","0.00",
="00683L","期元大美元指正2","597,165","96","12,603,664","21.08","21.15","21.02","21.12","+","0.06","21.12","273","21.13","1","0.00",
="00684R","期元大美元指反1","40","2","642","--","--","--","--"," ","0.00","16.06","22","16.11","20","0.00",
